lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14756311,-118.149498,76,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756228,-118.1496838,77,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756151,-118.1498254,78,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756084,-118.1498893,79,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756134,-118.1499638,80,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756065,-118.1500384,81,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756054,-118.1501267,82,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14772659,-118.1499111,83,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14772787,-118.149835,84,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14773502,-118.1493592,85,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,multi-space
34.14308472,-118.148773,86,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14292759,-118.1487713,87,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14287153,-118.1487733,88,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14269175,-118.1487694,89,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14263748,-118.1487686,90,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14245178,-118.1489659,91,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14251976,-118.1489674,92,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14258655,-118.1489661,93,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14265095,-118.1489691,94,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14272012,-118.1489699,95,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14278393,-118.14897,96,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14285519,-118.1489709,97,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1429178,-118.1489732,98,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1429822,-118.1489747,99,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14303587,-118.1489741,100,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14309521,-118.1489735,101,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14330929,-118.1489739,102,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1432431,-118.148973,103,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14317929,-118.1489715,104,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14384758,-118.1505756,105,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14391228,-118.150575,106,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1440697,-118.1505782,107,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14412934,-118.1505783,108,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14425186,-118.1503583,109,Sun-Thurs/Fri-Sat,1.25,0.25,11am-8pm/11am-2am,single-space
34.14399484,-118.1503564,110,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14392984,-118.1503556,111,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14386127,-118.1503548,112,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
