lat,lon,id,Sign
34.13712309,-118.1459799,1017, 2 hr parking 9am-6pm
34.13663102,-118.1459755,1018, 2 hr parking 9am-6pm
34.13618395,-118.1459705,1019, 2 hr parking 9am-6pm
34.13600359,-118.1457681,1020, 2 hr parking 9am-6pm
34.13639009,-118.1457716,1021, 2 hr parking 9am-6pm
34.13692519,-118.1457762,1022, 2 hr parking 9am-6pm
34.13737929,-118.1457816,1023, 2 hr parking 9am-6pm
34.13785795,-118.1457839,1024, 2 hr parking 9am-6pm
34.13829227,-118.1457908,1025, 2 hr parking 9am-6pm
34.13883023,-118.1457943,1026, 2 hr parking 9am-6pm
34.13926551,-118.1457993,1027, 2 hr parking 9am-6pm
34.13978465,-118.1458012,1028, 2 hr parking 9am-6pm
34.14010034,-118.1458062,1029, 2 hr parking 9am-6pm
34.14133568,-118.1458139,1030, 2 hr parking 9am-6pm
34.14168899,-118.1458159,1031, 2 hr parking 9am-6pm
34.14268738,-118.1458247,1032, no stopping anytime
34.1428347,-118.1458286,1033, no stopping anytime
34.14306683,-118.1458282,1034, no stopping anytime
34.14330917,-118.1458317,1035, no stopping anytime
34.14365419,-118.1458328,1036, no stopping anytime
34.14396285,-118.1458301,1037, no stopping anytime
34.14436303,-118.1458394,1038, no stopping anytime
34.14463247,-118.1458425,1039, no stopping anytime
34.14494368,-118.1458436,1040, no stopping anytime
34.14551316,-118.1458567,1041, no stopping anytime
34.14567897,-118.1458552,1042, no stopping anytime
34.14595797,-118.1459002,1043, no stopping anytime
34.14624686,-118.1459006,1044, no stopping anytime
34.14652458,-118.1459022,1045, no stopping anytime
34.14712785,-118.1458829,1046, no stopping anytime
34.14738836,-118.145874,1047, no stopping anytime
34.14794252,-118.145849,1048, bus stop Pasadena arts
34.1480825,-118.1458494,1049, no stopping anytime
34.14848935,-118.1458509,1050, no stopping anytime
34.14869851,-118.1458582,1051, no stopping anytime
34.14888504,-118.1458586,1052, no stopping anytime
34.1490349,-118.145859,1053, no stopping anytime
34.14936235,-118.1458602,1054, no stopping anytime
34.14974337,-118.1458864,1055, no stopping anytime
34.15011036,-118.1458902,1056, no stopping anytime
34.15053187,-118.1458794,1057, no stopping anytime
34.15095274,-118.1458598,1058, no stopping anytime
