lat,lon,id
34.14606761,-118.1430157,1
34.14663132,-118.1428589,2
34.14669334,-118.1428583,3
34.14675178,-118.1428598,4
34.14671819,-118.1430233,5
34.14665081,-118.1430239,6
34.14659237,-118.1430231,7
34.14653393,-118.1430251,8
34.1464579,-118.1430207,9
34.14643364,-118.1428564,10
34.14638534,-118.1428556,11
34.14640125,-118.1430199,12
34.14615009,-118.1428552,13
34.14240113,-118.1429901,14
34.14264174,-118.1429912,15
34.14286447,-118.1429959,16
34.14291455,-118.1429981,17
34.14298253,-118.1430004,18
34.1430842,-118.143002,19
34.14404966,-118.1430022,20
34.14411048,-118.1430052,21
34.14421245,-118.1430082,22
34.14426433,-118.143009,23
34.14432098,-118.1430106,24
34.14434147,-118.142827,25
34.14302806,-118.1428226,26
34.14310558,-118.1428263,27
34.14317804,-118.1428207,28
34.14324781,-118.1428194,29
34.14347263,-118.1428176,30
34.14387872,-118.1428248,31
34.14381372,-118.1428254,32
34.14374932,-118.1428224,33
34.14368671,-118.1428216,34
34.14358325,-118.1428207,35
34.1480743,-118.1444744,36
34.14810516,-118.144104,37
34.14716819,-118.1444668,38
34.14718355,-118.1440924,39
34.14637817,-118.1443736,40
34.1463969,-118.1441699,41
34.14793791,-118.1460769,42
34.14806105,-118.1460757,43
34.14812605,-118.1460779,44
34.14853512,-118.1460801,45
34.14859297,-118.1460802,46
34.14865677,-118.146081,47
34.14871909,-118.1460833,48
34.14687558,-118.1463013,49
34.14687787,-118.1463788,50
34.1468754,-118.1464491,51
34.14687589,-118.1465351,52
34.14687402,-118.1466054,53
34.14687373,-118.1468439,54
34.14687483,-118.1469164,55
34.14686773,-118.1473571,56
34.14686765,-118.1474281,57
34.14385278,-118.1460723,58
34.14379493,-118.1460722,59
34.14373172,-118.1460721,60
34.14366434,-118.1460698,61
34.14359994,-118.1460697,62
34.14328717,-118.1460677,63
34.14321591,-118.1460633,64
34.14315151,-118.1460646,65
34.14308889,-118.1460645,66
34.14302598,-118.1460615,67
34.14296099,-118.1460599,68
34.14289837,-118.146057,69
34.14589792,-118.1485047,70
34.14756778,-118.1486129,71
34.14756786,-118.1485441,72
34.14756913,-118.1484795,73
34.14756645,-118.1492036,74
34.14756457,-118.1492818,75
34.14756311,-118.149498,76
34.14756228,-118.1496838,77
34.14756151,-118.1498254,78
34.14756084,-118.1498893,79
34.14756134,-118.1499638,80
34.14756065,-118.1500384,81
34.14756054,-118.1501267,82
34.14772659,-118.1499111,83
34.14772787,-118.149835,84
34.14773502,-118.1493592,85
34.14308472,-118.148773,86
34.14292759,-118.1487713,87
34.14287153,-118.1487733,88
34.14269175,-118.1487694,89
34.14263748,-118.1487686,90
34.14245178,-118.1489659,91
34.14251976,-118.1489674,92
34.14258655,-118.1489661,93
34.14265095,-118.1489691,94
34.14272012,-118.1489699,95
34.14278393,-118.14897,96
34.14285519,-118.1489709,97
34.1429178,-118.1489732,98
34.1429822,-118.1489747,99
34.14303587,-118.1489741,100
34.14309521,-118.1489735,101
34.14330929,-118.1489739,102
34.1432431,-118.148973,103
34.14317929,-118.1489715,104
34.14384758,-118.1505756,105
34.14391228,-118.150575,106
34.1440697,-118.1505782,107
34.14412934,-118.1505783,108
34.14425186,-118.1503583,109
34.14399484,-118.1503564,110
34.14392984,-118.1503556,111
34.14386127,-118.1503548,112
34.14300319,-118.1505677,113
34.14293998,-118.1505675,114
34.1428708,-118.1505667,115
34.14280939,-118.1505644,116
34.14273902,-118.150565,117
34.14268237,-118.1505635,118
34.14260542,-118.150345,119
34.14267101,-118.1503451,120
34.14273601,-118.1503459,121
34.14278849,-118.1503453,122
34.14299541,-118.1503492,123
34.14305862,-118.1503501,124
34.14312183,-118.1503509,125
34.14318802,-118.1503517,126
34.14325242,-118.1503511,127
34.14331205,-118.1503527,128
34.14225809,-118.1505595,129
34.1422068,-118.1505601,130
34.14206398,-118.1505584,131
34.14199243,-118.1505576,132
34.14193458,-118.1505575,133
34.14188032,-118.1505552,134
34.14151418,-118.1505539,135
34.14144739,-118.1505523,136
34.1413806,-118.1505529,137
34.14132753,-118.1505514,138
34.14136835,-118.1503338,139
34.14163043,-118.1503371,140
34.14169662,-118.1503387,141
34.1417646,-118.1503388,142
34.14182901,-118.1503389,143
34.14189401,-118.150339,144
34.1419602,-118.1503391,145
34.14202609,-118.1503407,146
34.14209466,-118.1503444,147
34.14215669,-118.1503409,148
34.1422187,-118.150341,149
34.14229264,-118.150344,150
34.14805904,-118.1504096,151
34.14812643,-118.1504083,152
34.14819083,-118.150407,153
34.14825643,-118.1504064,154
34.14832083,-118.1504072,155
34.14836973,-118.1504066,156
34.14210059,-118.1522834,157
34.14205527,-118.1522804,158
34.14199922,-118.1522781,159
34.14194137,-118.1522788,160
34.14188889,-118.1522794,161
34.14189231,-118.1524042,162
34.14194419,-118.152405,163
34.1419925,-118.1524065,164
34.14204199,-118.1524059,165
34.14210848,-118.1524074,166
34.14217348,-118.1524083,167
34.14102572,-118.1522735,168
34.14157523,-118.1522795,169
34.14150128,-118.1522787,170
34.14143688,-118.1522778,171
34.14137307,-118.1522777,172
34.14131345,-118.152274,173
